iter	Accuracy	MultiClass
0	0.1804979253	1.791606121
1	0.1908713693	1.791241189
2	0.1866182573	1.791203824
3	0.2104771784	1.790179845
4	0.212966805	1.790048069
5	0.2123443983	1.789635727
6	0.2316390041	1.787804355
7	0.242219917	1.786965567
8	0.2428423237	1.786669929
9	0.2428423237	1.786479033
10	0.2426348548	1.786228029
11	0.2508298755	1.785035012
12	0.2523858921	1.784769426
13	0.253526971	1.784469761
14	0.2526970954	1.78405634
15	0.254253112	1.783298753
16	0.2552904564	1.782956828
17	0.2552904564	1.782653654
18	0.2539419087	1.782524247
19	0.2564315353	1.782057073
20	0.2607883817	1.781640059
21	0.2598547718	1.781575234
22	0.2575726141	1.781480754
23	0.2581950207	1.781309872
24	0.2554979253	1.781265793
25	0.2543568465	1.780875059
26	0.2563278008	1.780564716
27	0.2602697095	1.779945945
28	0.2595435685	1.779406559
29	0.2590248963	1.779239683
30	0.2596473029	1.778963366
31	0.2595435685	1.778858834
32	0.2624481328	1.778195945
33	0.2739626556	1.776630076
34	0.2738589212	1.776453134
35	0.27593361	1.776152219
36	0.2774896266	1.775877766
37	0.2770746888	1.775605194
38	0.277593361	1.775420777
39	0.2780082988	1.775347686
40	0.2774896266	1.775159458
41	0.277593361	1.774482
42	0.278526971	1.774162281
43	0.2780082988	1.773942258
44	0.2779045643	1.773920483
45	0.2780082988	1.773707651
46	0.2772821577	1.773496373
47	0.276659751	1.772688332
48	0.27593361	1.772525981
49	0.2760373444	1.772520612
50	0.2747925311	1.772376986
51	0.2748962656	1.772215872
52	0.2756224066	1.771972087
53	0.2754149378	1.771972049
54	0.2752074689	1.771622602
55	0.2751037344	1.771604506
56	0.2764522822	1.771390142
57	0.2772821577	1.771187194
58	0.2757261411	1.7709329
59	0.2757261411	1.770915132
60	0.2769709544	1.770718433
61	0.2755186722	1.77045545
62	0.2757261411	1.769942916
63	0.2764522822	1.769803622
64	0.2763485477	1.769762802
65	0.2767634855	1.769331124
66	0.2772821577	1.769171653
67	0.278526971	1.76870532
68	0.2789419087	1.768394078
69	0.284439834	1.767023123
70	0.2863070539	1.76667483
71	0.2904564315	1.765538775
72	0.2917012448	1.765377443
73	0.2911825726	1.765019474
74	0.2912863071	1.764995982
75	0.2929460581	1.764556192
76	0.2936721992	1.764404074
77	0.2950207469	1.763864459
78	0.296473029	1.763061781
79	0.2951244813	1.762892958
80	0.2991701245	1.762166646
81	0.2988589212	1.761862687
82	0.302593361	1.760991818
83	0.3118257261	1.759351531
84	0.3110995851	1.759103913
85	0.3109958506	1.759079982
86	0.3235477178	1.757177897
87	0.3254149378	1.756537134
88	0.3251037344	1.756363473
89	0.3247925311	1.75628658
90	0.327593361	1.755760818
91	0.3288381743	1.754927867
92	0.3282157676	1.754020391
93	0.327593361	1.753717402
94	0.3296680498	1.753286399
95	0.3295643154	1.752977169
96	0.3298755187	1.752977099
97	0.3312240664	1.752797275
98	0.3307053942	1.752546868
99	0.334439834	1.751481184
100	0.3359958506	1.751176714
101	0.3360995851	1.751072764
102	0.3362033195	1.750424335
103	0.3365145228	1.749512185
104	0.3408713693	1.748592538
105	0.3465767635	1.746996968
106	0.3487551867	1.746091942
107	0.3489626556	1.745663672
108	0.3479253112	1.745446037
109	0.3489626556	1.744898169
110	0.3486514523	1.74462357
111	0.35	1.744244013
112	0.3513485477	1.743695683
113	0.3519709544	1.743382105
114	0.3522821577	1.743382042
115	0.3547717842	1.742753356
116	0.3587136929	1.741891855
117	0.360373444	1.741208548
118	0.3621369295	1.740242093
119	0.3641078838	1.739632868
120	0.3633817427	1.739450241
121	0.3634854772	1.73902607
122	0.3635892116	1.738664175
123	0.3626556017	1.737998154
124	0.3661825726	1.737374921
125	0.3656639004	1.737160642
126	0.3660788382	1.736726842
127	0.3680497925	1.735844083
128	0.3700207469	1.734907778
129	0.3734439834	1.734332505
130	0.3745850622	1.733863419
131	0.3765560166	1.732793306
132	0.3768672199	1.732326674
133	0.3780082988	1.732064939
134	0.3797717842	1.730399011
135	0.381120332	1.729749925
136	0.3788381743	1.729463656
137	0.3809128631	1.729063121
138	0.3824688797	1.72876081
139	0.3821576763	1.728760761
140	0.3835062241	1.728387669
141	0.3848547718	1.727762991
142	0.384439834	1.727416503
143	0.3854771784	1.726975857
144	0.3868257261	1.726703999
145	0.3877593361	1.725955584
146	0.3890041494	1.7255233
147	0.3904564315	1.725258596
148	0.3895228216	1.724656349
149	0.3893153527	1.724349376
150	0.3894190871	1.723682424
151	0.3895228216	1.723333769
152	0.3912863071	1.722875994
153	0.3995850622	1.721313456
154	0.4003112033	1.721016921
155	0.4017634855	1.720405533
156	0.4022821577	1.720232099
157	0.4021784232	1.719662564
158	0.4023858921	1.719539338
159	0.4036307054	1.717677295
160	0.4022821577	1.717435883
161	0.4045643154	1.716896074
162	0.4102697095	1.71536134
163	0.4127593361	1.714179634
164	0.4126556017	1.713899617
165	0.4157676349	1.713268856
166	0.4171161826	1.712507036
167	0.4229253112	1.710699969
168	0.4239626556	1.710066856
169	0.4239626556	1.710040699
170	0.4268672199	1.709040447
171	0.4260373444	1.708692835
172	0.4267634855	1.708019463
173	0.4304979253	1.707220846
174	0.4313278008	1.707020646
175	0.4337136929	1.70592155
176	0.4338174274	1.705319325
177	0.4375518672	1.704086034
178	0.4382780083	1.702940199
179	0.4400414938	1.701971331
180	0.4434647303	1.701244448
181	0.4447095436	1.700508291
182	0.4470954357	1.700022504
183	0.4513485477	1.698064936
184	0.4530082988	1.697508162
185	0.454253112	1.696519838
186	0.4625518672	1.694507968
187	0.4621369295	1.693876061
188	0.4669087137	1.69281231
189	0.4679460581	1.691133499
190	0.4706431535	1.690328065
191	0.4764522822	1.688587505
192	0.4746887967	1.687323301
193	0.4754149378	1.686613752
194	0.4773858921	1.685890035
195	0.4821576763	1.684426073
196	0.4892116183	1.682629405
197	0.4930497925	1.680808259
198	0.4934647303	1.680251068
199	0.4979253112	1.678516862
200	0.5040456432	1.676812252
201	0.5053941909	1.675852898
202	0.5086099585	1.674599516
203	0.5092323651	1.673692375
204	0.5096473029	1.672962012
205	0.509439834	1.672362948
206	0.517219917	1.669694255
207	0.5179460581	1.669090639
208	0.5185684647	1.668565464
209	0.5219917012	1.666339452
210	0.5231327801	1.665355298
211	0.5238589212	1.664821453
212	0.5320539419	1.661795798
213	0.5345435685	1.659808593
214	0.5372406639	1.658290972
215	0.5399377593	1.657507922
216	0.5402489627	1.656480984
217	0.5445020747	1.654591332
218	0.5497925311	1.652755935
