iter	Passed	Remaining
0	214	106895
1	370	92333
2	391	64787
3	511	63457
4	642	63600
5	756	62317
6	889	62675
7	1034	63640
8	1157	63126
9	1296	63504
10	1444	64205
11	1582	64345
12	1709	64053
13	1858	64518
14	1983	64141
15	2116	64036
16	2252	63998
17	2358	63166
18	2418	61221
19	2547	61132
20	2692	61419
21	2759	59959
22	2899	60130
23	3020	59907
24	3049	57941
25	3179	57957
26	3311	58006
27	3440	57995
28	3593	58369
29	3723	58336
30	3849	58240
31	3985	58292
32	4113	58205
33	4243	58161
34	4380	58201
35	4527	58360
36	4650	58195
37	4789	58230
38	4924	58206
39	5045	58022
40	5142	57573
41	5289	57682
42	5426	57677
43	5543	57449
44	5585	56479
45	5734	56593
46	5893	56807
47	6039	56868
48	6152	56627
49	6188	55694
50	6332	55753
51	6472	55762
52	6618	55821
53	6628	54745
54	6765	54742
55	6794	53868
56	6929	53857
57	7072	53894
58	7214	53926
59	7274	53347
60	7405	53295
61	7549	53331
62	7692	53357
63	7824	53305
64	7901	52879
65	8056	52979
66	8183	52888
67	8316	52832
68	8472	52919
69	8609	52889
70	8736	52788
71	8867	52712
72	9003	52665
73	9153	52695
74	9184	52044
75	9316	51976
76	9449	51912
77	9576	51810
78	9705	51724
79	9852	51726
80	9983	51642
81	10120	51588
82	10274	51618
83	10421	51612
84	10541	51467
85	10618	51115
86	10769	51123
87	10898	51023
88	11038	50975
89	11172	50898
90	11297	50774
91	11439	50729
92	11579	50674
93	11708	50572
94	11847	50507
95	11988	50449
96	11998	49850
97	12154	49859
98	12278	49735
99	12414	49658
100	12576	49681
101	12715	49614
102	12897	49709
103	13029	49612
104	13167	49535
105	13317	49500
106	13468	49469
107	13650	49546
108	13846	49670
109	14043	49791
110	14235	49888
111	14436	50013
112	14623	50082
113	14834	50228
114	14847	49706
115	15063	49865
116	15244	49901
117	15434	49965
118	15612	49986
119	15799	50030
120	15905	49818
121	16101	49889
122	16293	49939
123	16479	49968
124	16664	49994
125	16851	50018
126	17050	50078
127	17241	50108
128	17450	50187
129	17620	50151
130	17805	50155
131	17970	50098
132	18157	50103
133	18318	50035
134	18492	49998
135	18664	49955
136	18839	49917
137	19028	49914
138	19247	49986
139	19259	49525
140	19427	49465
141	19645	49528
142	19836	49522
143	19995	49432
144	20193	49439
145	20378	49410
146	20579	49418
147	20772	49404
148	20964	49386
149	21141	49330
150	21306	49243
151	21525	49281
152	21716	49251
153	21902	49209
154	22093	49175
155	22270	49110
156	22447	49040
157	22627	48979
158	22799	48896
159	22973	48818
160	23178	48804
161	23358	48735
162	23539	48666
163	23716	48589
164	23916	48557
165	24090	48471
166	24294	48443
167	24502	48421
168	24700	48377
169	24741	48028
170	24924	47953
171	25108	47881
172	25292	47807
173	25467	47715
174	25635	47608
175	25817	47527
176	26014	47473
177	26219	47430
178	26437	47410
179	26618	47321
180	26803	47239
181	26981	47142
182	27161	47049
183	27326	46930
184	27495	46817
185	27665	46704
186	27848	46612
187	28035	46527
188	28205	46412
189	28407	46349
190	28625	46309
191	28819	46231
192	28987	46109
193	29170	46010
194	29349	45906
195	29527	45797
196	29695	45673
197	29883	45579
198	30074	45489
199	30248	45372
200	30439	45280
201	30632	45190
202	30829	45105
203	31044	45045
204	31232	44944
205	31417	44838
206	31599	44728
207	31773	44604
208	31959	44498
209	32140	44384
210	32327	44278
211	32522	44181
212	32661	44009
213	32817	43859
214	33034	43789
215	33218	43676
216	33420	43585
217	33594	43457
218	33769	43330
219	33986	43255
220	34149	43112
221	34316	42972
222	34509	42866
223	34704	42761
224	34876	42627
225	35044	42488
226	35243	42385
227	35429	42266
228	35593	42121
229	35771	41992
230	35946	41860
231	36085	41685
232	36241	41529
233	36409	41388
234	36557	41224
235	36726	41083
236	36882	40929
237	37051	40787
238	37241	40669
239	37421	40539
240	37617	40426
241	37800	40299
242	37982	40170
243	38169	40047
244	38353	39918
245	38544	39797
246	38714	39655
247	38893	39520
248	39036	39349
249	39208	39208
250	39349	39035
251	39540	38912
252	39729	38787
253	39891	38634
254	40088	38516
255	40248	38361
256	40420	38218
257	40590	38073
258	40766	37933
259	40935	37786
260	41110	37644
261	41286	37504
262	41468	37369
263	41634	37218
264	41802	37070
265	41998	36945
266	42151	36784
267	42339	36652
268	42524	36517
269	42693	36368
270	42890	36243
271	43069	36102
272	43258	35969
273	43411	35806
274	43582	35658
275	43754	35511
276	43938	35372
277	44093	35211
278	44290	35083
279	44468	34939
280	44644	34794
281	44830	34656
282	44995	34501
283	45152	34341
284	45333	34198
285	45511	34054
286	45657	33884
287	45803	33716
288	45986	33574
289	46150	33419
290	46326	33272
291	46546	33156
292	46715	33004
293	46909	32868
294	47092	32725
295	47250	32564
296	47413	32407
297	47569	32245
298	47704	32069
299	47869	31913
300	48047	31765
301	48230	31621
302	48414	31477
303	48599	31333
304	48788	31192
305	48984	31055
306	49181	30918
307	49352	30765
308	49517	30608
309	49674	30445
310	49815	30273
311	49993	30124
312	50172	29975
313	50348	29823
314	50522	29671
315	50679	29509
316	50821	29338
317	51024	29202
318	51220	29062
319	51392	28908
320	51561	28752
321	51750	28607
322	51939	28462
323	52110	28307
324	52284	28152
325	52461	28000
326	52620	27838
327	52806	27691
328	52964	27528
329	53138	27374
330	53339	27233
331	53524	27084
332	53698	26929
333	53872	26775
334	54050	26621
335	54218	26463
336	54396	26310
337	54572	26155
338	54756	26005
339	54943	25855
340	55136	25708
341	55313	25554
342	55502	25404
343	55672	25246
344	55887	25108
345	56063	24953
346	56204	24781
347	56366	24619
348	56542	24463
349	56723	24309
350	56892	24150
351	57039	23982
352	57227	23831
353	57392	23670
354	57572	23515
355	57791	23376
356	57961	23217
357	58164	23070
358	58312	22902
359	58486	22744
360	58648	22582
361	58791	22412
362	58975	22258
363	59145	22098
364	59314	21938
365	59497	21783
366	59634	21611
367	59833	21462
368	60020	21308
369	60209	21154
